Time,Value
12:19:00,35041
12:19:00,36450
12:19:00,32716
12:19:00,22998
12:19:00,10848
12:19:00,449
12:19:00,-7243
12:19:00,-8309
12:19:00,1190
12:19:00,16930
12:19:00,33013
12:19:00,45168
12:19:00,47675
12:19:00,38063
12:19:00,21776
12:19:00,5275
12:19:00,-8713
12:19:00,-13943
12:19:00,-6483
12:19:00,7378
12:19:00,20921
12:19:00,32761
12:19:00,40209
12:19:00,38679
12:19:00,32299
12:19:00,24613
12:19:00,12936
12:19:00,977
12:19:00,-5824
12:19:00,-7202
12:19:00,-2620
12:19:00,10354
12:19:00,27512
12:19:00,39587
12:19:00,44547
12:19:00,42262
12:19:00,27669
12:19:00,8245
12:19:00,-2793
12:19:00,-6878
12:19:00,-5472
12:19:00,3660
12:19:00,15452
12:19:00,24637
12:19:00,32372
12:19:00,37315
12:19:00,36117
12:19:00,31163
12:19:00,22725
12:19:00,9052
12:19:00,-5614
12:19:00,-13210
12:19:00,-8998
12:19:00,4708
12:19:00,23942
12:19:00,43026
12:19:00,51612
12:19:00,44675
12:19:00,28516
12:19:00,9547
12:19:00,-8467
12:19:00,-15253
12:19:00,-7932
12:19:00,5147
12:19:00,20974
12:19:00,35463
12:19:00,40355
12:19:00,35829
12:19:00,28995
12:19:00,20236
12:19:00,9126
12:19:00,2231
12:19:00,363
12:19:00,694
12:19:00,6297
12:19:00,16232
12:19:00,24656
12:19:00,30904
12:19:00,34615
12:19:00,32215
12:19:00,22768
12:19:00,12314
12:19:00,5307
12:19:00,822
12:19:00,1814
12:19:00,9288
12:19:00,17185
12:19:00,22388
12:19:00,27144
12:19:00,28962
12:19:00,25563
12:19:00,21638
12:19:00,18114
12:19:00,12107
12:19:00,6327
12:19:00,4816
12:19:00,6661
12:19:00,11708
12:19:00,20360
12:19:00,28062
12:19:01,29896
12:19:01,26782
12:19:01,20888
12:19:01,12952
12:19:01,7890
12:19:01,8870
12:19:01,10876
12:19:01,12335
12:19:01,15878
12:19:01,18984
12:19:01,19417
12:19:01,21024
12:19:01,24587
12:19:01,24353
12:19:01,19857
12:19:01,15041
12:19:01,10545
12:19:01,7185
12:19:01,8323
12:19:01,13322
12:19:01,18446
12:19:01,22310
12:19:01,24238
12:19:01,22257
12:19:01,18516
12:19:01,17805
12:19:01,16666
12:19:01,14933
12:19:01,15784
12:19:01,14871
12:19:01,11022
12:19:01,9276
12:19:01,12074
12:19:01,16171
12:19:01,20703
12:19:01,27056
12:19:01,30316
12:19:01,25883
12:19:01,18612
12:19:01,10959
12:19:01,2844
12:19:01,1260
12:19:01,8237
12:19:01,17190
12:19:01,23304
12:19:01,27000
12:19:01,27145
12:19:01,22674
12:19:01,18446
12:19:01,15566
12:19:01,12532
12:19:01,11158
12:19:01,11236
12:19:01,10293
12:19:01,9911
12:19:01,14318
12:19:01,21094
12:19:01,25759
12:19:01,28975
12:19:01,27864
12:19:01,18989
12:19:01,10335
12:19:01,8265
12:19:01,8337
12:19:01,9496
12:19:01,14171
12:19:01,18083
12:19:01,19039
12:19:01,20558
12:19:01,22810
12:19:01,23579
12:19:01,23264
12:19:01,21304
12:19:01,15965
12:19:01,9388
12:19:01,4807
12:19:01,4758
12:19:01,9576
12:19:01,18013
12:19:01,27207
12:19:01,29960
12:19:01,27036
12:19:01,24106
12:19:01,18007
12:19:01,10276
12:19:01,7647
12:19:01,7983
12:19:01,7595
12:19:01,10285
12:19:01,16836
12:19:01,21442
12:19:01,24746
12:19:01,28511
12:19:01,28027
12:19:01,22374
12:19:01,15439
12:19:01,9094
12:19:01,4331
12:19:01,3909
12:19:01,8908
12:19:02,16111
12:19:02,22893
12:19:02,28322
12:19:02,28460
12:19:02,23457
12:19:02,18527
12:19:02,12295
12:19:02,8469
12:19:02,10784
12:19:02,13459
12:19:02,13150
12:19:02,11154
12:19:02,14695
12:19:02,21344
12:19:02,24624
12:19:02,28082
12:19:02,30178
12:19:02,24036
12:19:02,11397
12:19:02,1679
12:19:02,-1074
12:19:02,2805
12:19:02,13020
12:19:02,24451
12:19:02,30009
12:19:02,31127
12:19:02,27935
12:19:02,19100
12:19:02,12668
12:19:02,10959
12:19:02,9299
12:19:02,7556
12:19:02,9232
12:19:02,12676
12:19:02,16219
12:19:02,23233
12:19:02,30571
12:19:02,31826
12:19:02,26511
12:19:02,18191
12:19:02,7092
12:19:02,-1705
12:19:02,1504
12:19:02,10412
12:19:02,18197
12:19:02,26951
12:19:02,31910
12:19:02,28924
12:19:02,21849
12:19:02,15396
12:19:02,10347
12:19:02,7968
12:19:02,8926
12:19:02,10646
12:19:02,12622
12:19:02,15833
12:19:02,19931
12:19:02,22478
12:19:02,23410
12:19:02,24487
12:19:02,21744
12:19:02,15287
12:19:02,11408
12:19:02,9198
12:19:02,7444
12:19:02,10386
12:19:02,16852
12:19:02,20321
12:19:02,22945
12:19:02,25317
12:19:02,24731
12:19:02,19455
12:19:02,16109
12:19:02,12115
12:19:02,-609
12:19:02,1807
12:19:02,14151
12:19:02,21681
12:19:02,28145
12:19:02,27901
12:19:02,25662
12:19:02,22155
12:19:02,13750
12:19:02,4899
12:19:02,7772
12:19:02,17283
12:19:02,21801
12:19:02,23540
12:19:02,24558
12:19:02,21720
12:19:02,11845
12:19:02,3277
12:19:02,3812
12:19:02,15410
12:19:02,24372
12:19:02,27917
12:19:02,33283
12:19:02,25984
12:19:02,10884
12:19:02,2542
12:19:03,906
12:19:03,7239
12:19:03,19723
12:19:03,28883
12:19:03,28280
12:19:03,25235
12:19:03,19311
12:19:03,9067
12:19:03,4356
12:19:03,6773
12:19:03,13721
12:19:03,19561
12:19:03,22405
12:19:03,23332
12:19:03,20857
12:19:03,18021
12:19:03,16503
12:19:03,13730
12:19:03,10260
12:19:03,11725
12:19:03,15434
12:19:03,16286
12:19:03,18720
12:19:03,22400
12:19:03,20923
12:19:03,18148
12:19:03,15871
12:19:03,7255
12:19:03,4420
12:19:03,12623
12:19:03,22053
12:19:03,27572
12:19:03,25470
12:19:03,21138
12:19:03,14249
12:19:03,6262
12:19:03,4513
12:19:03,11656
12:19:03,24292
12:19:03,32621
12:19:03,33007
12:19:03,26310
12:19:03,15977
12:19:03,4945
12:19:03,-3862
12:19:03,-2584
12:19:03,12953
